RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        6575.3       12442.       894.80       650.00      0.14092E+06   6625.1       26.450       96.000    
     2        5647.3       9928.3       686.39       850.00      0.13952E+06   6493.6       14.740       97.000    
     3        3798.4       7126.1       1671.1       200.00      0.13860E+06   6404.0       55.690       97.000    
     4        4117.9       7633.5       1357.5       350.00      0.13741E+06   6294.3       19.330       94.000    
     5        4193.7       8527.5       743.99       600.00      0.13648E+06   6197.3       13.560       100.00    
     6        4514.0       9104.9       684.59       600.00      0.13532E+06   6087.8       19.750       96.000    
     7        4417.1       8692.2       504.20       700.00      0.13418E+06   5982.3       6.4900       96.000    
     8        4939.6       9223.5       680.60       700.00      0.13301E+06   5868.9       8.2500       96.000    
     9        4578.7       8820.1       261.30       800.00      0.13193E+06   5769.6       19.380       101.00    
    10        4643.1       8717.8       557.79       750.00      0.13084E+06   5662.2       7.1200       96.000    
